Unnamed: 0,SARSA,SARSA Lambda,Q-learning,R-Learning
39,-785.125,-796.7,-770.75,-755.65
40,-784.9024390243902,-796.1951219512198,-774.609756097561,-754.609756097561
41,-784.9047619047618,-796.1428571428571,-774.6428571428571,-757.2619047619048
42,-785.3255813953488,-796.5116279069767,-774.8837209302327,-759.1627906976744
43,-789.2045454545455,-796.25,-777.9772727272727,-757.7045454545455
44,-784.4,-796.4,-776.7333333333332,-750.5777777777778
45,-782.8478260869565,-796.9347826086956,-774.3695652173913,-754.0652173913044
46,-779.4468085106382,-794.7659574468088,-774.4042553191489,-753.7659574468086
47,-779.5625,-791.5416666666665,-774.625,-754.9791666666666
48,-769.1836734693878,-791.2244897959183,-770.9795918367348,-755.4081632653061
49,-771.12,-789.3,-771.98,-754.74
50,-771.2156862745097,-789.3921568627451,-773.6470588235294,-757.4509803921569
51,-770.2692307692308,-786.7115384615387,-772.3076923076923,-756.25
52,-768.8490566037735,-786.8490566037735,-774.2452830188679,-757.811320754717
53,-769.8148148148148,-787.8148148148148,-771.4444444444445,-749.8888888888889
54,-770.2545454545455,-786.7818181818183,-770.3818181818183,-749.0545454545454
55,-771.9642857142858,-785.625,-770.9642857142858,-749.8571428571429
56,-771.0877192982457,-787.5087719298245,-773.263157894737,-748.1052631578947
57,-769.9310344827586,-786.8448275862069,-774.3965517241379,-748.4310344827586
58,-768.9661016949153,-787.728813559322,-774.271186440678,-748.7457627118644
59,-769.0833333333335,-786.3333333333335,-771.9,-751.3
60,-768.1639344262295,-787.7868852459018,-773.2950819672133,-752.7377049180328
61,-769.4516129032259,-788.6129032258065,-774.5,-751.9516129032259
62,-768.6984126984128,-788.1269841269841,-773.2380952380953,-753.6190476190476
63,-769.796875,-786.25,-773.0,-754.953125
64,-769.7538461538461,-787.4769230769231,-773.1846153846153,-754.5846153846154
65,-769.8484848484848,-786.6212121212121,-772.5454545454545,-754.6363636363636
66,-771.9552238805969,-785.9253731343283,-773.8059701492537,-754.4179104477612
67,-773.4705882352941,-786.5735294117646,-772.9117647058823,-753.6764705882352
68,-773.8985507246376,-786.4202898550725,-773.3478260869565,-755.1739130434783
69,-774.3142857142857,-786.4,-774.1571428571428,-755.3428571428572
70,-775.9859154929578,-784.2253521126761,-771.5211267605632,-756.3943661971831
71,-776.1111111111113,-783.6111111111113,-771.2083333333335,-756.9166666666666
72,-777.0958904109589,-782.5205479452055,-771.2739726027397,-757.917808219178
73,-777.3243243243244,-782.7972972972972,-769.6351351351352,-758.527027027027
74,-776.4666666666667,-782.7066666666667,-769.96,-757.12
75,-776.4605263157895,-782.1447368421052,-769.2105263157895,-758.671052631579
76,-777.3896103896104,-782.4155844155844,-768.5974025974026,-757.6103896103896
77,-777.025641025641,-781.8717948717949,-769.7307692307692,-757.9615384615385
78,-777.126582278481,-781.7974683544304,-764.6202531645571,-757.3924050632911
79,-775.9875,-781.8375,-766.0,-757.85
80,-777.5432098765433,-782.320987654321,-767.4567901234567,-757.7407407407408
81,-776.0243902439024,-782.7926829268292,-768.2195121951221,-759.280487804878
82,-775.3734939759038,-784.0120481927713,-769.1807228915663,-758.5060240963855
83,-774.4166666666665,-783.9761904761905,-770.6547619047618,-759.3571428571429
84,-775.3882352941176,-784.4117647058823,-770.1882352941177,-759.3764705882353
85,-775.2906976744188,-775.9883720930233,-770.6744186046512,-758.4186046511628
86,-774.9885057471263,-774.9540229885057,-763.8620689655173,-759.7586206896551
87,-776.125,-775.4772727272727,-765.125,-760.9659090909091
88,-775.9213483146068,-776.2921348314608,-765.0449438202247,-761.8426966292135
89,-774.6222222222223,-776.1888888888889,-765.8666666666667,-762.0
90,-774.1428571428571,-776.0879120879123,-766.4725274725273,-762.6483516483516
91,-773.2826086956521,-776.2826086956521,-766.2826086956521,-763.1847826086956
92,-773.0215053763443,-776.6666666666665,-762.1827956989247,-763.8064516129032
93,-773.1489361702127,-777.8085106382979,-762.0425531914892,-763.936170212766
94,-772.1368421052632,-778.5473684210525,-761.5263157894735,-764.9157894736842
95,-772.7395833333335,-777.8645833333335,-762.4270833333335,-764.65625
96,-772.680412371134,-775.8969072164947,-762.0103092783505,-765.1443298969073
97,-772.9897959183673,-776.1734693877553,-761.4183673469388,-764.4285714285714
98,-773.2929292929292,-776.0808080808081,-762.2020202020202,-764.4545454545455
99,-772.87,-775.54,-762.16,-763.76
100,-771.79,-775.99,-760.99,-762.59
101,-771.25,-774.55,-761.44,-761.69
102,-772.6,-773.38,-760.18,-761.24
103,-772.6,-774.01,-760.99,-761.15
104,-770.75,-773.47,-760.99,-762.32
105,-769.4,-773.92,-762.43,-761.42
106,-769.58,-772.12,-761.89,-762.41
107,-771.65,-772.84,-761.98,-762.41
108,-770.75,-772.57,-761.53,-761.24
109,-769.58,-772.48,-761.98,-761.68
110,-769.22,-774.19,-766.76,-762.58
111,-770.03,-773.92,-765.86,-762.76
112,-770.39,-774.91,-766.4,-762.13
113,-769.58,-774.1,-766.04,-759.61
114,-769.76,-773.83,-764.6,-758.98
115,-770.93,-773.02,-763.61,-759.79
116,-770.21,-771.67,-765.23,-759.52
117,-769.67,-769.6,-765.41,-759.34
118,-769.85,-768.79,-760.19,-760.33
119,-769.22,-760.93,-760.82,-760.87
120,-769.58,-761.02,-761.45,-760.96
121,-769.85,-760.66,-761.54,-762.4
122,-770.57,-759.49,-760.37,-767.15
123,-770.03,-755.2,-763.72,-767.24
124,-769.76,-756.1,-764.08,-767.24
125,-771.65,-755.56,-762.46,-771.18
126,-771.02,-757.09,-761.92,-772.08
127,-772.3,-757.09,-761.11,-772.53
128,-772.24,-755.83,-761.2,-771.99
129,-771.52,-756.1,-761.29,-771.9
130,-773.14,-756.28,-761.47,-771.63
131,-774.13,-756.19,-762.55,-772.71
132,-773.5,-755.56,-762.82,-773.16
133,-771.88,-755.92,-761.29,-772.8
134,-773.67,-755.29,-760.57,-773.61
135,-768.43,-755.02,-760.3,-773.52
136,-770.05,-754.75,-759.94,-772.89
137,-770.14,-756.82,-760.75,-772.62
138,-767.98,-750.85,-760.3,-772.26
139,-767.53,-751.3,-760.12,-772.35
140,-768.07,-750.67,-753.73,-773.52
141,-766.9,-749.86,-754.18,-771.81
142,-766.36,-750.49,-750.89,-771.99
143,-764.92,-750.76,-744.07,-773.07
144,-767.31,-750.94,-744.43,-775.83
145,-768.57,-750.4,-745.87,-774.03
146,-770.37,-751.75,-744.79,-775.29
147,-771.0,-753.65,-744.16,-774.84
148,-776.32,-752.75,-742.0,-775.11
149,-775.33,-752.39,-740.47,-774.66
150,-775.51,-752.12,-739.75,-774.03
151,-775.42,-753.02,-741.1,-775.38
152,-771.94,-752.57,-739.57,-774.3
153,-771.49,-751.13,-739.93,-778.31
154,-771.04,-751.31,-741.01,-780.56
155,-769.33,-752.48,-739.66,-779.75
156,-769.87,-752.12,-737.68,-779.24
157,-771.04,-752.75,-737.5,-779.87
158,-771.4,-752.03,-738.49,-780.32
159,-771.58,-752.84,-740.29,-780.23
160,-771.94,-752.12,-739.66,-780.32
161,-770.59,-751.4,-738.67,-781.4
162,-771.76,-751.67,-739.3,-780.95
163,-771.22,-752.66,-740.47,-781.4
164,-770.32,-751.67,-740.47,-782.93
165,-770.14,-752.57,-741.28,-778.54
166,-769.42,-752.03,-741.01,-776.92
167,-769.69,-751.94,-742.09,-776.83
168,-769.06,-752.48,-741.55,-776.29
169,-769.96,-752.48,-740.65,-776.2
170,-769.06,-754.37,-742.45,-775.3
171,-769.42,-755.18,-742.72,-774.76
172,-768.52,-755.9,-742.09,-774.22
173,-767.35,-754.73,-743.08,-774.04
174,-768.7,-754.19,-742.54,-774.82
175,-768.88,-753.92,-742.63,-775.18
176,-767.8,-754.82,-743.53,-775.36
177,-767.35,-755.54,-742.99,-775.54
178,-766.0,-755.81,-745.83,-775.63
179,-766.81,-756.26,-743.49,-773.97
180,-765.01,-755.45,-742.77,-774.06
181,-766.06,-754.82,-741.96,-772.71
182,-766.6,-753.38,-741.51,-773.16
183,-767.32,-753.06,-740.25,-771.81
184,-766.06,-752.43,-740.43,-771.87
185,-765.07,-759.77,-738.54,-771.12
186,-764.89,-759.86,-743.71,-770.22
187,-763.63,-759.05,-736.98,-768.24
188,-763.36,-758.51,-737.25,-768.51
189,-765.52,-758.69,-736.71,-768.24
190,-766.87,-758.24,-735.63,-767.88
191,-766.71,-758.24,-735.63,-766.8
192,-767.7,-757.52,-738.73,-765.63
193,-766.8,-755.63,-739.72,-765.45
194,-768.33,-753.92,-740.8,-765.09
195,-768.42,-755.0,-740.98,-765.63
196,-768.96,-757.43,-742.87,-764.82
197,-768.69,-757.61,-743.23,-765.54
198,-768.15,-757.79,-742.51,-766.8
199,-769.23,-757.25,-741.97,-766.44
200,-768.42,-758.6,-742.69,-766.44
201,-768.42,-759.41,-742.87,-767.79
202,-766.8,-759.5,-743.86,-767.88
203,-766.35,-759.14,-743.32,-767.61
204,-765.06,-758.6,-742.87,-766.8
205,-765.51,-759.32,-742.6,-766.89
206,-764.97,-759.41,-740.27,-765.18
207,-763.62,-760.22,-741.35,-764.91
208,-764.61,-759.77,-740.0,-765.72
209,-765.69,-758.33,-740.81,-765.72
210,-766.32,-758.87,-739.19,-764.82
211,-763.89,-759.05,-740.18,-764.64
212,-763.62,-757.97,-741.89,-765.63
213,-762.63,-758.24,-741.44,-767.16
214,-762.09,-754.59,-741.35,-767.79
215,-762.36,-754.14,-741.89,-767.25
216,-763.98,-754.32,-739.91,-765.9
217,-764.61,-755.04,-740.18,-765.9
218,-763.35,-754.5,-744.14,-764.82
219,-764.25,-760.02,-742.16,-764.64
220,-764.97,-760.02,-741.98,-764.82
221,-764.79,-760.29,-740.99,-763.02
222,-763.89,-762.54,-741.62,-763.47
223,-762.27,-766.44,-741.53,-764.37
224,-761.64,-764.79,-739.82,-764.64
225,-761.01,-765.15,-741.44,-764.37
226,-762.81,-764.7,-742.79,-763.65
227,-763.17,-764.34,-743.51,-762.93
228,-762.81,-764.44,-741.91,-763.2
229,-762.72,-763.9,-741.01,-763.74
230,-761.19,-763.27,-741.64,-764.28
231,-759.84,-763.09,-740.47,-764.1
232,-759.57,-763.63,-740.29,-763.92
233,-755.26,-762.91,-740.38,-764.55
234,-754.45,-763.72,-740.56,-765.18
235,-758.88,-762.73,-740.56,-764.1
236,-751.11,-763.45,-740.47,-763.74
237,-750.48,-760.5,-739.48,-763.11
238,-750.93,-766.38,-738.49,-762.21
239,-750.84,-766.38,-737.95,-761.31
240,-750.3,-765.66,-743.08,-761.04
241,-751.11,-766.02,-741.91,-762.12
